,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
62,pierrot le fou,1965,300000,0.0,110.0,"[18, 53]",fr,14.063,2786,7.445,742.0
63,journey to italy,1954,0,0.0,85.0,"[18, 10749]",it,6.958,2748,7.352,236.0
64,metropolis,1927,1300000,650422.0,149.0,"[18, 878]",de,19.147,19,8.154,2314.0
65,dr. strangelove or: how i learned to stop worrying and love the bomb,1964,1800000,9523464.0,95.0,"[18, 35, 10752]",en,24.569,935,8.137,4938.0
66,once upon a time in the west,1968,5000000,5380118.0,166.0,"[18, 37]",it,23.931,335,8.296,3756.0
67,chinatown,1974,6000000,30000000.0,130.0,"[80, 18, 9648, 53]",en,27.59,829,7.924,3301.0
68,la strada,1954,0,0.0,115.0,[18],it,11.989,405,7.949,909.0
69,les enfants du paradis,1945,0,1457.0,191.0,"[18, 10749]",fr,8.549,2457,8.179,336.0
70,do the right thing,1989,6500000,37295445.0,120.0,[18],en,12.229,925,7.758,1481.0
71,the leopard,1963,0,0.0,186.0,[18],it,10.808,1040,7.681,674.0
72,amarcord,1973,0,0.0,123.0,"[35, 18]",it,12.785,7857,7.918,957.0
73,a woman under the influence,1974,0,0.0,155.0,[18],en,9.8,29845,7.791,386.0
74,a man escaped,1956,0,0.0,101.0,"[53, 18, 10752, 36]",fr,11.445,15244,7.994,432.0
75,the seventh seal,1957,0,0.0,96.0,"[14, 18]",sv,16.477,490,8.216,2587.0
76,pulp fiction,1994,8000000,214179088.0,154.0,"[53, 80]",en,61.481,680,8.491,25120.0
77,the wild bunch,1969,6244087,638641.0,145.0,[37],en,17.969,576,7.648,1008.0
78,it's a wonderful life,1946,3180000,9644124.0,130.0,"[18, 10751, 14]",en,27.085,1585,8.257,3727.0
79,sansho the bailiff,1954,0,0.0,124.0,[18],ja,10.538,20532,8.173,309.0
80,the conformist,1970,750000,0.0,108.0,[18],it,13.281,8416,7.699,552.0
81,the magnificent ambersons,1942,0,0.0,88.0,"[18, 10749, 36]",en,9.535,965,7.327,350.0
82,viridiana,1961,0,679244.0,90.0,[18],es,12.166,4497,7.669,443.0
83,blue velvet,1986,6000000,8618766.0,120.0,"[18, 80, 9648, 53]",en,17.091,793,7.6,2850.0
84,pickpocket,1959,0,0.0,75.0,"[80, 18]",fr,7.535,690,7.335,420.0
85,nashville,1975,2200000,9991258.0,160.0,"[18, 10402, 35]",en,9.187,3121,7.305,326.0
86,the shining,1980,19000000,44781695.0,144.0,"[27, 53]",en,36.379,694,8.222,15681.0
87,gertrud,1964,0,0.0,119.0,"[18, 10749]",da,6.529,34181,7.238,124.0
88,the gold rush,1925,923000,4000000.0,89.0,"[12, 35, 18]",en,10.452,962,8.03,1360.0
89,the man who shot liberty valance,1962,3200000,8000000.0,123.0,[37],en,14.079,11697,7.803,939.0
90,jaws,1975,7000000,470653000.0,124.0,"[27, 53, 12]",en,37.091,578,7.653,9142.0
91,la jetée,1962,0,0.0,28.0,"[10749, 878]",fr,10.035,662,7.923,755.0
92,jules et jim,1962,0,0.0,110.0,"[18, 10749]",fr,10.134,1628,7.636,832.0
93,cléo from 5 to 7,1962,0,0.0,90.0,[18],fr,13.658,499,7.707,538.0
94,sans soleil,1983,0,30878.0,100.0,[99],fr,9.75,1563,7.5,202.0
95,meshes of the afternoon,1943,275,0.0,14.0,"[9648, 14]",en,5.993,27040,7.7,312.0
96,to be or not to be,1942,1200000,1500000.0,99.0,"[35, 10752]",en,10.634,198,7.898,580.0
97,madame de...,1953,0,0.0,105.0,"[18, 10749, 36]",fr,6.888,27030,7.7,176.0
98,sátántangó,1994,1500000,0.0,432.0,[18],hu,9.925,31414,8.229,221.0
99,sherlock jr.,1924,0,0.0,45.0,"[28, 35, 9648]",en,13.486,992,8.118,803.0
100,a clockwork orange,1971,2200000,26589000.0,137.0,"[878, 18]",en,30.447,185,8.218,11581.0
101,fear eats the soul,1974,130000,0.0,93.0,"[10749, 18]",de,11.369,216,7.736,331.0
102,last year at marienbad,1961,0,0.0,95.0,"[18, 10749]",fr,11.423,4024,7.5,410.0
103,the mother and the whore,1973,0,0.0,208.0,"[18, 10749, 35]",fr,8.828,48693,7.5,131.0
104,"aguirre, the wrath of god",1972,370000,37041.0,95.0,"[12, 18, 36]",de,12.259,2000,7.525,924.0
105,ikiru,1952,0,55240.0,143.0,[18],ja,14.844,3782,8.349,920.0
106,a brighter summer day,1991,0,0.0,237.0,"[80, 18, 10749]",zh,16.555,15804,8.265,247.0
107,annie hall,1977,4000000,38251425.0,93.0,"[35, 18, 10749]",en,16.156,703,7.768,3448.0
108,greed,1924,0,0.0,100.0,"[35, 18]",en,10.535,567598,5.569,109.0
109,the spirit of the beehive,1973,0,0.0,97.0,"[18, 14]",es,7.966,4495,7.718,289.0
110,once upon a time in america,1984,30000000,5472914.0,229.0,"[18, 80]",en,28.91,311,8.445,4647.0
111,come and see,1985,0,168817.0,142.0,"[18, 10752]",ru,20.227,25237,8.296,1134.0
112,the piano,1993,7000000,40185556.0,121.0,"[18, 10749]",en,14.936,713,7.398,1281.0
113,hiroshima mon amour,1959,0,3193.0,92.0,"[18, 36, 10749]",fr,13.709,5544,7.795,673.0
114,yi yi,2000,0,0.0,173.0,[18],zh,14.913,25538,7.87,430.0
115,the wizard of oz,1939,2777000,33754967.0,102.0,"[12, 14, 10751]",en,45.577,630,7.6,4931.0
116,the red shoes,1948,0,10054356.0,92.0,"[16, 10749, 10751, 35, 14]",en,35.33,486589,7.78,941.0
117,intolerance,1916,0,0.0,11.0,"[35, 878, 16]",en,0.801,48684,5.7,15.0
118,don't look now,1973,1500000,0.0,110.0,"[53, 18, 27]",en,11.23,931,6.967,868.0
119,blow-up,1966,1800000,0.0,111.0,"[18, 9648, 53]",en,17.083,1052,7.413,1066.0
120,bringing up baby,1938,1073000,0.0,102.0,"[35, 10749]",en,11.289,900,7.564,833.0
121,l'eclisse,1962,0,0.0,126.0,"[10749, 18]",it,9.217,21135,7.82,401.0
122,a matter of life and death,1946,0,0.0,104.0,"[35, 14, 10749, 18]",en,7.494,28162,7.748,320.0
123,letter from an unknown woman,1948,0,0.0,87.0,"[18, 10749]",en,10.451,946,7.8,251.0
124,a day in the country,1936,0,0.0,41.0,"[18, 10749, 35]",fr,5.431,43878,7.326,161.0
125,vivre sa vie,1962,64000,24517.0,84.0,[18],fr,7.916,1626,7.799,541.0
126,notorious,1946,0,43051547.0,122.0,"[10402, 18, 36]",en,19.016,14410,6.946,620.0
127,imitation of life,1959,0,0.0,125.0,"[18, 10749]",en,11.692,34148,7.48,229.0
128,alien,1979,11000000,104931801.0,117.0,"[27, 878]",en,48.943,348,8.14,12758.0
129,histoire(s) du cinéma,1988,0,0.0,51.0,[99],fr,3.07,116393,6.0,24.0
130,all about eve,1950,1400000,8400000.0,139.0,[18],en,14.635,705,8.149,1327.0
131,my darling clementine,1946,0,0.0,97.0,"[37, 10749, 18]",en,12.344,3088,7.424,344.0
132,the exterminating angel,1962,0,0.0,94.0,"[35, 18, 14]",es,8.488,29264,7.975,565.0
133,the gospel according to st. matthew,1964,0,0.0,137.0,[18],it,8.932,24192,7.5,293.0
134,los olvidados,1950,0,0.0,77.0,"[80, 18]",es,8.065,800,8.041,407.0
135,his girl friday,1940,0,0.0,92.0,"[35, 18, 10749]",en,11.441,3085,7.427,692.0
136,spirited away,2001,19000000,274925095.0,125.0,"[16, 10751, 14]",ja,78.481,129,8.54,14257.0
137,killer of sheep,1977,100000,362222.0,80.0,[18],en,4.602,27432,6.537,95.0
138,céline and julie go boating,1974,0,0.0,193.0,"[35, 18, 14]",fr,7.796,27019,6.7,105.0
139,un chien andalou,1928,0,0.0,16.0,[14],fr,14.774,626,7.503,1113.0
140,gone with the wind,1939,4000000,402352579.0,238.0,"[18, 10752, 10749]",en,22.912,770,7.978,3567.0
141,e.t. the extra-terrestrial,1982,10500000,792965500.0,115.0,"[878, 12, 10751, 14]",en,32.092,601,7.5,10182.0
142,"rome, open city",1945,20000,1000000.0,103.0,"[18, 36, 10752]",it,11.525,307,8.017,747.0
143,the umbrellas of cherbourg,1964,7,0.0,93.0,"[18, 10749]",fr,10.669,5967,7.398,627.0
144,trouble in paradise,1932,0,0.0,83.0,"[35, 80, 10749]",en,7.237,195,7.482,226.0
145,the conversation,1974,1600000,4420000.0,113.0,"[80, 18, 9648]",en,12.396,592,7.539,1433.0
146,l'argent,1983,0,0.0,85.0,"[80, 18]",fr,7.642,42112,6.92,206.0
147,"the good, the bad and the ugly",1966,1200000,25253887.0,161.0,[37],it,52.02,429,8.484,7376.0
148,days of heaven,1978,0,0.0,94.0,"[18, 10749]",en,11.596,16642,7.525,850.0
149,one flew over the cuckoo's nest,1975,3000000,108981275.0,133.0,[18],en,35.32,510,8.423,9355.0
150,my neighbour totoro,1988,3700000,45000000.0,86.0,"[14, 16, 10751]",ja,46.471,8392,8.068,6815.0
151,wanda,1970,0,0.0,103.0,"[18, 80]",en,4.796,80560,6.774,104.0
152,manhattan,1979,9000000,39946780.0,96.0,"[35, 18, 10749]",en,9.398,696,7.769,2079.0
153,chungking express,1994,160000,0.0,103.0,"[18, 35, 10749]",cn,26.695,11104,8.015,1419.0
154,cries and whispers,1972,400000,0.0,95.0,[18],sv,10.923,10238,7.972,590.0
155,l'âge d'or,1930,0,7940.0,63.0,"[10749, 35, 18]",fr,7.061,5729,6.831,255.0
156,star wars,1977,11000000,775398007.0,121.0,"[12, 28, 878]",en,83.34,11,8.2,18589.0
157,tropical malady,2004,0,0.0,114.0,"[18, 10749, 14]",th,5.494,11534,6.69,105.0
158,badlands,1973,450000,0.0,94.0,"[80, 18, 53, 10749]",en,12.404,3133,7.559,1011.0
159,the deer hunter,1978,15000000,50000000.0,183.0,"[18, 10752]",en,20.355,11778,8.007,3258.0
160,there will be blood,2007,25000000,77208711.0,158.0,[18],en,24.125,7345,8.096,5687.0
161,double indemnity,1944,927262,2500000.0,107.0,"[80, 18, 9648, 53]",en,16.465,996,8.144,1534.0
162,touki bouki,1973,0,0.0,91.0,"[18, 10749]",wo,7.182,77771,6.75,72.0
163,stagecoach,1939,531374,1103757.0,96.0,"[37, 12, 18, 10749]",en,14.299,995,7.677,941.0
164,rosemary's baby,1968,3200000,33395426.0,138.0,"[18, 27, 53]",en,19.141,805,7.8,3409.0
165,the texas chainsaw massacre,1974,9500000,107363905.0,98.0,[27],en,29.646,9373,6.223,2309.0
166,earth,1930,15000000,109000000.0,90.0,[99],en,10.062,10946,7.563,317.0
167,duck soup,1933,0,0.0,69.0,"[35, 10752]",en,11.673,3063,7.355,659.0
168,brief encounter,1945,0,0.0,86.0,"[18, 10749]",en,10.345,851,7.776,504.0
169,the discreet charm of the bourgeoisie,1972,800000,0.0,101.0,[35],fr,9.525,4593,7.537,659.0
170,the river,1951,18000000,11500000.0,122.0,[18],en,7.125,38557,6.284,102.0
171,the birds,1963,2500000,11500000.0,119.0,[27],en,24.088,571,7.521,3531.0
172,only angels have wings,1939,0,0.0,121.0,"[10749, 12, 18]",en,8.867,43832,7.37,189.0
173,mouchette,1967,0,0.0,81.0,[18],fr,7.887,1561,7.482,199.0
174,spring in a small town,1948,0,0.0,93.0,"[18, 10749]",zh,4.423,21058,7.148,71.0
175,a city of sadness,1989,0,0.0,159.0,"[18, 36]",zh,11.114,49982,7.3,100.0
176,napoléon,1927,0,39448.0,333.0,"[18, 36, 10752]",fr,7.249,42536,7.628,137.0
177,portrait of a lady on fire,2019,5740000,9923127.0,120.0,"[18, 10749]",fr,21.86,531428,8.181,2066.0
178,chimes at midnight,1965,800000,0.0,115.0,"[35, 18, 36]",en,9.253,986,7.2,167.0
179,johnny guitar,1954,0,0.0,110.0,"[18, 37, 10749]",en,11.067,26596,7.456,341.0
180,vampyr,1932,0,0.0,74.0,"[27, 14]",de,7.688,779,7.309,435.0
181,black narcissus,1947,424000,0.0,100.0,[18],en,10.099,16391,7.587,383.0
182,la notte,1961,0,0.0,122.0,"[18, 10749]",it,10.423,41050,7.957,564.0
183,out of the past,1947,0,0.0,97.0,"[80, 18, 10749]",en,10.944,678,7.6,479.0
184,rocco and his brothers,1960,0,0.0,178.0,"[80, 18]",it,12.021,8422,8.059,476.0
185,paisan,1946,0,0.0,125.0,"[36, 18, 10752]",it,8.491,8429,7.638,258.0
186,the tree of life,2011,32000000,54674226.0,139.0,"[18, 14]",en,12.453,8967,6.73,2763.0
187,nights of cabiria,1957,0,752045.0,110.0,[18],it,10.662,19426,8.028,641.0
188,"salò, or the 120 days of sodom",1975,0,22017.0,117.0,"[18, 10752]",it,56.635,5336,6.462,1693.0
189,the lady eve,1941,0,0.0,97.0,"[35, 10749]",en,7.955,3086,7.235,279.0
190,the last laugh,1924,0,0.0,98.0,[35],en,6.345,571451,5.4,160.0
191,"paris, texas",1984,1746964,2181987.0,145.0,[18],en,16.243,655,8.097,1462.0
192,on the waterfront,1954,910000,9600000.0,108.0,"[80, 18]",en,14.989,654,7.966,1336.0
193,death in venice,1971,0,0.0,130.0,"[18, 36]",it,11.145,6619,7.332,413.0
194,news from home,1976,0,0.0,85.0,[99],fr,3.76,86814,7.378,45.0
195,king kong,1933,207000000,562363449.0,187.0,"[12, 18, 28]",en,33.21,254,6.858,7100.0
196,the life and death of colonel blimp,1943,0,0.0,163.0,"[18, 10749, 10752, 36]",en,9.25,25037,7.5,190.0
197,raiders of the lost ark,1981,18000000,389925971.0,115.0,"[12, 28]",en,41.2,85,7.922,10931.0
198,wavelength,1967,0,0.0,43.0,[18],en,4.1,88421,5.2,73.0
199,the great dictator,1940,2000000,11000000.0,125.0,"[35, 10752]",en,18.813,914,8.346,2916.0
200,the gleaners & i,2000,0,0.0,82.0,[99],fr,9.897,44379,7.64,137.0
201,solaris,1972,47000000,30002758.0,99.0,"[18, 878, 9648]",en,13.235,2103,5.905,1132.0
202,wings of desire,1987,2500000,3210139.0,128.0,"[18, 14, 10749]",de,13.343,144,7.792,1087.0
203,zero for conduct,1933,0,0.0,49.0,"[35, 18]",fr,7.256,44494,6.9,198.0
204,umberto d.,1952,0,0.0,91.0,[18],it,11.539,833,7.87,560.0
205,moonlight,2016,4000000,65046687.0,111.0,[18],en,15.821,376867,7.393,6474.0
206,the thing,1982,15000000,19629760.0,109.0,"[27, 9648, 878]",en,40.105,1091,8.037,5973.0
207,breaking the waves,1996,0,3803298.0,159.0,"[18, 10749]",da,14.771,145,7.5,827.0
208,le samouraï,1967,0,39481.0,105.0,"[80, 53]",fr,13.959,5511,7.85,852.0
209,the life of oharu,1952,0,0.0,136.0,[18],ja,8.191,43364,7.89,150.0
210,close encounters of the third kind,1977,20000000,306889114.0,137.0,"[878, 18]",en,17.652,840,7.36,3694.0
211,the grapes of wrath,1940,800000,1591000.0,129.0,[18],en,15.442,596,7.838,817.0
212,kes,1969,0,0.0,110.0,[18],en,10.439,13384,7.525,335.0
213,magnolia,1999,37000000,48451803.0,189.0,[18],en,17.42,334,7.731,3108.0
214,"black god, white devil",1964,0,0.0,120.0,"[18, 36, 80, 12]",pt,5.506,67612,7.2,118.0
215,an autumn afternoon,1962,0,0.0,114.0,[18],ja,10.251,50759,7.829,228.0
216,the travelling players,1975,0,0.0,222.0,"[18, 10752, 36]",el,6.356,689,7.458,59.0
217,the quiet man,1952,1750000,3800000.0,129.0,"[10749, 35, 18]",en,10.131,3109,7.334,430.0
218,"germany, year zero",1948,0,0.0,72.0,"[10752, 18, 36]",it,17.954,8016,7.691,304.0
219,love streams,1984,0,0.0,141.0,[18],en,9.153,52109,7.267,105.0
220,the matrix,1999,63000000,463517383.0,136.0,"[28, 878]",en,64.286,603,8.201,23150.0
221,red desert,1964,0,0.0,117.0,[18],it,9.304,26638,7.414,383.0
222,ashes and diamonds,1958,0,0.0,103.0,"[18, 10749, 10752]",pl,8.887,5055,7.479,195.0
223,the crowd,1928,0,0.0,98.0,"[18, 10749]",en,6.005,3061,7.624,145.0
224,where is the friend's house?,1987,0,0.0,83.0,"[18, 10751]",fa,10.702,49964,7.87,269.0
225,brazil,1985,15000000,9900000.0,143.0,"[35, 878]",en,13.959,68,7.683,2916.0
226,sullivan's travels,1941,700000,1200000.0,91.0,"[12, 35, 10749]",en,12.226,16305,7.495,384.0
227,eraserhead,1977,100000,7000000.0,89.0,"[14, 27]",en,14.447,985,7.418,2108.0
228,mccabe & mrs. miller,1971,0,0.0,120.0,"[37, 18]",en,9.224,29005,7.2,331.0
229,"ivan the terrible, part 2",1946,0,0.0,99.0,"[18, 36]",ru,7.945,9797,7.376,157.0
230,the house is black,1963,0,0.0,21.0,[99],fa,5.412,44065,7.432,111.0
231,memories of underdevelopment,1968,0,33103.0,99.0,[18],es,4.538,47576,7.561,66.0
232,the band wagon,1953,2900000,3500000.0,112.0,"[35, 10402, 10749]",en,7.466,29376,7.2,181.0
233,the thin red line,1998,52000000,98126565.0,171.0,"[18, 36, 10752]",en,17.974,8741,7.452,2608.0
234,"ivan the terrible, part 1",1944,0,0.0,99.0,"[18, 36]",ru,7.945,9797,7.376,157.0
235,performance,1970,0,0.0,106.0,"[80, 18, 10402, 14]",en,7.825,26606,6.8,152.0
236,the best years of our lives,1946,2100000,23650000.0,171.0,"[18, 10749, 10752]",en,12.561,887,7.8,528.0
237,parasite,2019,800000,7000000.0,85.0,"[27, 878]",en,7.4,48311,4.9,47.0
238,meet me in st. louis,1944,1707561,7566000.0,113.0,"[35, 18, 10749, 10751]",en,7.979,909,7.021,313.0
239,daughters of the dust,1991,800000,0.0,112.0,"[18, 10749]",en,5.565,68427,6.654,39.0
240,caché,2005,8731048,36000000.0,117.0,"[9648, 18, 53]",fr,9.463,445,7.063,917.0
241,in a lonely place,1950,0,0.0,94.0,"[18, 9648, 10749, 53, 80]",en,9.624,17057,7.569,467.0
242,red river,1948,3000000,9012000.0,133.0,"[37, 18, 10749]",en,13.322,3089,7.4,431.0
243,belle de jour,1967,0,0.0,101.0,"[18, 10749]",fr,11.928,649,7.417,734.0
244,diary of a country priest,1951,0,0.0,115.0,[18],fr,7.837,43376,7.6,211.0
245,eternal sunshine of the spotless mind,2004,20000000,72258126.0,108.0,"[878, 18, 10749]",en,39.128,38,8.1,13329.0
246,kind hearts and coronets,1949,0,0.0,104.0,"[35, 18, 80]",en,11.077,11898,7.7,442.0
247,schindler's list,1993,22000000,321365567.0,195.0,"[18, 36, 10752]",en,49.208,424,8.569,14036.0
248,three colours: blue,1993,0,0.0,98.0,[18],fr,17.423,108,7.7,1421.0
249,the big lebowski,1998,15000000,46969409.0,117.0,"[35, 80]",en,26.32,115,7.844,10076.0
250,the cabinet of dr. caligari,1920,18000,8811.0,78.0,"[18, 27, 53, 80]",de,16.61,234,7.959,1308.0
251,the story of the last chrysanthemums,1939,0,0.0,144.0,"[10749, 18]",ja,5.281,46069,7.899,94.0
252,heat,1995,60000000,187436818.0,170.0,"[28, 80, 18, 53]",en,46.494,949,7.899,6230.0
253,uncle boonmee who can recall his past lives,2010,0,0.0,114.0,"[18, 14]",th,9.851,38368,6.635,311.0
254,black girl,1966,0,0.0,116.0,[10749],ja,8.655,375533,6.5,53.0
255,the graduate,1967,3000000,104945305.0,106.0,"[35, 18, 10749]",en,17.487,37247,7.657,2911.0
256,the treasure of the sierra madre,1948,3800000,4307000.0,126.0,"[12, 18, 37]",en,17.155,3090,7.997,1008.0
257,the shop around the corner,1940,0,0.0,99.0,"[35, 18, 10749]",en,28.818,20334,8.302,604.0
258,night and fog,1955,0,0.0,32.0,"[36, 99, 10752]",fr,9.122,803,8.241,398.0
259,fargo,1996,7000000,60611975.0,98.0,"[80, 18, 53]",en,20.067,275,7.869,7029.0
260,f for fake,1973,0,0.0,89.0,[99],fr,7.68,43003,7.434,280.0
261,the green ray,1986,0,0.0,98.0,"[18, 10749]",fr,9.194,54898,7.4,200.0
262,throne of blood,1957,0,13422.0,108.0,"[18, 36]",ja,10.051,3777,7.954,685.0
263,day of wrath,1943,0,0.0,109.0,"[80, 12, 18, 28, 53, 9648]",en,3.968,16432,3.8,23.0
264,three colours: red,1994,0,0.0,100.0,"[18, 9648, 10749]",fr,17.234,110,8.0,1161.0
265,all that heaven allows,1955,0,0.0,89.0,"[18, 10749]",en,9.153,43316,7.4,262.0
266,the ascent,1976,0,0.0,103.0,"[27, 28, 878]",en,3.514,614208,5.2,15.0
267,"goodbye, dragon inn",2003,0,0.0,82.0,"[18, 35]",zh,6.617,56616,6.739,108.0
268,pandora's box,1929,0,0.0,133.0,"[18, 10749, 80]",de,8.564,905,7.5,186.0
269,eyes wide shut,1999,65000000,162091208.0,159.0,"[18, 53, 9648]",en,29.37,345,7.475,5277.0
270,groundhog day,1993,14600000,71074049.0,101.0,"[10749, 14, 18, 35]",en,20.73,137,7.603,6968.0
271,sweet smell of success,1957,3400000,2500000.0,97.0,[18],en,8.515,976,7.659,388.0
272,2 or 3 things i know about her,1967,0,0.0,87.0,"[35, 18]",fr,8.256,8074,6.424,151.0
273,the exorcist,1973,18000000,65675816.0,103.0,"[27, 9648, 53]",en,3591.591,758323,7.307,761.0
274,cinema paradiso,1988,5000000,11990401.0,124.0,"[18, 10749]",it,28.137,11216,8.457,3738.0
275,taste of cherry,1997,0,0.0,99.0,[18],fa,11.811,30020,7.632,460.0
276,my night at maud's,1969,0,0.0,110.0,"[10749, 35, 18]",fr,8.1,48831,7.706,235.0
277,india song,1975,0,0.0,114.0,"[18, 10749]",fr,5.175,85927,6.3,60.0
