,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
60,don't look now,1973,1500000,0.0,110.0,"[53, 18, 27]",en,11.23,931,6.967,868.0
61,blow-up,1966,1800000,0.0,111.0,"[18, 9648, 53]",en,17.083,1052,7.413,1066.0
62,bringing up baby,1938,1073000,0.0,102.0,"[35, 10749]",en,11.289,900,7.564,833.0
63,vivre sa vie,1962,64000,24517.0,84.0,[18],fr,7.916,1626,7.799,541.0
64,alien,1979,11000000,104931801.0,117.0,"[27, 878]",en,48.943,348,8.14,12758.0
65,all about eve,1950,1400000,8400000.0,139.0,[18],en,14.635,705,8.149,1327.0
66,spirited away,2001,19000000,274925095.0,125.0,"[16, 10751, 14]",ja,78.481,129,8.54,14257.0
67,killer of sheep,1977,100000,362222.0,80.0,[18],en,4.602,27432,6.537,95.0
68,gone with the wind,1939,4000000,402352579.0,238.0,"[18, 10752, 10749]",en,22.912,770,7.978,3567.0
69,e.t. the extra-terrestrial,1982,10500000,792965500.0,115.0,"[878, 12, 10751, 14]",en,32.092,601,7.5,10182.0
70,"rome, open city",1945,20000,1000000.0,103.0,"[18, 36, 10752]",it,11.525,307,8.017,747.0
71,the umbrellas of cherbourg,1964,7,0.0,93.0,"[18, 10749]",fr,10.669,5967,7.398,627.0
72,the conversation,1974,1600000,4420000.0,113.0,"[80, 18, 9648]",en,12.396,592,7.539,1433.0
73,"the good, the bad and the ugly",1966,1200000,25253887.0,161.0,[37],it,52.02,429,8.484,7376.0
74,one flew over the cuckoo's nest,1975,3000000,108981275.0,133.0,[18],en,35.32,510,8.423,9355.0
75,my neighbour totoro,1988,3700000,45000000.0,86.0,"[14, 16, 10751]",ja,46.471,8392,8.068,6815.0
76,manhattan,1979,9000000,39946780.0,96.0,"[35, 18, 10749]",en,9.398,696,7.769,2079.0
77,chungking express,1994,160000,0.0,103.0,"[18, 35, 10749]",cn,26.695,11104,8.015,1419.0
78,cries and whispers,1972,400000,0.0,95.0,[18],sv,10.923,10238,7.972,590.0
79,star wars,1977,11000000,775398007.0,121.0,"[12, 28, 878]",en,83.34,11,8.2,18589.0
80,badlands,1973,450000,0.0,94.0,"[80, 18, 53, 10749]",en,12.404,3133,7.559,1011.0
81,the deer hunter,1978,15000000,50000000.0,183.0,"[18, 10752]",en,20.355,11778,8.007,3258.0
82,there will be blood,2007,25000000,77208711.0,158.0,[18],en,24.125,7345,8.096,5687.0
83,double indemnity,1944,927262,2500000.0,107.0,"[80, 18, 9648, 53]",en,16.465,996,8.144,1534.0
